name,latitude,longitude,common_name,scientific_name,indivuals,source,state
anirudhsrivastha,13.56068333,78.49491944,Tailed Jay,Graphium agamemnon,1,inat,Andhra Pradesh
rajabandi,16.61897664,80.51154164,Common Pierrot,Castalius rosimon,1,inat,Andhra Pradesh
rajabandi,16.61896,80.51153167,,Colotis,1,inat,Andhra Pradesh
rajabandi,16.61896,80.51155664,Whites,Pierinae,1,inat,Andhra Pradesh
rajabandi,16.61895664,80.511615,,Amblypodia,1,inat,Andhra Pradesh
rajabandi,16.61897167,80.51162164,Indian Sunbeam,Curetis thetis,1,inat,Andhra Pradesh
rajabandi,16.61901497,80.51170331,Purple Leaf Blue,Amblypodia anita,1,inat,Andhra Pradesh
rajabandi,16.61901167,80.51167164,Double-branded Crow Butterfly,Euploea sylvester,1,inat,Andhra Pradesh
rajabandi,16.61899833,80.51167331,Indian Sunbeam,Curetis thetis,1,inat,Andhra Pradesh
rajabandi,16.61899664,80.51177167,Zebra Blue,Leptotes plinius,1,inat,Andhra Pradesh
rajabandi,16.61901833,80.51172333,Common Gull,Cepora nerissa,1,inat,Andhra Pradesh
rajabandi,16.61881831,80.51226664,Purple Leaf Blue,Amblypodia anita,1,inat,Andhra Pradesh
rajabandi,16.620825,80.51397333,Lime Blue,Chilades lajus,1,inat,Andhra Pradesh
rajabandi,16.61954997,80.51415164,Flashes,Rapala,1,inat,Andhra Pradesh
rajabandi,16.619585,80.51412331,Common Rose Swallowtail,Pachliopta aristolochiae,1,inat,Andhra Pradesh
rajabandi,16.62064331,80.51410997,Common Crow Butterfly,Euploea core,1,inat,Andhra Pradesh
rajabandi,16.62087164,80.51411167,Monkey Puzzle,Rathinda amor,1,inat,Andhra Pradesh
rajabandi,16.62092831,80.51405167,Tiny Grass Blue,Zizula hylax,1,inat,Andhra Pradesh
rajabandi,16.62112333,80.51396331,Monkey Puzzle,Rathinda amor,1,inat,Andhra Pradesh
rajabandi,16.620905,80.51397664,Typical Blues,Polyommatini,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Lemon Emigrant,Catopsilia pomona,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,,Cepora,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,,Amblypodia,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Tiny Grass Blue,Zizula hylax,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Gram Blue,Euchrysops cnejus,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Common Caerulean,Jamides celeno,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Plain Tiger Butterfly,Danaus chrysippus,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Lime Blue,Chilades lajus,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Purple Leaf Blue,Amblypodia anita,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Monkey Puzzle,Rathinda amor,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Lime Blue,Chilades lajus,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Monkey Puzzle,Rathinda amor,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Bushbrowns,Mycalesis,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Grass Yellows,Eurema,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Monkey Puzzle,Rathinda amor,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Angled Castor,Ariadne ariadne,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Indian Sunbeam,Curetis thetis,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Peacock Pansy,Junonia almana,1,inat,Andhra Pradesh
rajabandi,16.62166,80.51394,Yellow Orange Tip,Ixias pyrene,1,inat,Andhra Pradesh
gayathree,13.670525,79.34971667,Plains Cupid,Chilades pandava,1,inat,Andhra Pradesh
gayathree,13.67053,79.34966333,Blue Mormon Swallowtail,Papilio polymnestor,1,inat,Andhra Pradesh
rajabandi,16.70799164,80.51996667,Dark-branded Bushbrown,Mycalesis mineus,1,inat,Andhra Pradesh
rajabandi,16.70905664,80.51949833,Dark-branded Bushbrown,Mycalesis mineus,1,inat,Andhra Pradesh
rajabandi,16.70916167,80.51948167,Common Gull,Cepora nerissa,1,inat,Andhra Pradesh
rajabandi,16.70911,80.51830664,Little Orange-tip,Colotis etrida,1,inat,Andhra Pradesh
rajabandi,16.70883831,80.51815333,Chocolate Pansy,Junonia iphita,1,inat,Andhra Pradesh
rajabandi,16.70299,80.51379333,Purple Leaf Blue,Amblypodia anita,1,inat,Andhra Pradesh
rajabandi,16.70194833,80.51386167,Tiny Grass Blue,Zizula hylax,1,inat,Andhra Pradesh
rajabandi,16.70262,80.51355667,Purple Leaf Blue,Amblypodia anita,1,inat,Andhra Pradesh
rajabandi,16.70840333,80.51776667,Psyche,Leptosia nina,1,inat,Andhra Pradesh
rajabandi,16.70740898,80.51869527,Crimson Tip,Colotis danae,1,inat,Andhra Pradesh
rajabandi,16.52000012,80.67600008,Common Evening Brown,Melanitis leda,1,inat,Andhra Pradesh
nagarani,17.00301112,81.83388667,Danaid Eggfly,Hypolimnas misippus,1,inat,Andhra Pradesh
nagarani,16.50048667,80.68849167,Typical Blues,Polyommatini,1,inat,Andhra Pradesh
nagarani,17.00309445,81.833595,Danaid Eggfly,Hypolimnas misippus,1,inat,Andhra Pradesh
nagarani,17.00308333,81.83393,Common Rose Swallowtail,Pachliopta aristolochiae,1,inat,Andhra Pradesh
nagarani,17.00302222,81.833825,Common Wanderer,Pareronia anais,1,inat,Andhra Pradesh
nagarani,17.00306667,81.83383833,Blue Mormon Swallowtail,Papilio polymnestor,1,inat,Andhra Pradesh
nagarani,17.00306667,81.83383833,Blue Mormon Swallowtail,Papilio polymnestor,1,inat,Andhra Pradesh
nagarani,17.00306945,81.83387,Blue Mormon Swallowtail,Papilio polymnestor,1,inat,Andhra Pradesh
nagarani,17.00349167,81.83418333,Crimson Rose Swallowtail,Pachliopta hector,1,inat,Andhra Pradesh
nagarani,17.00314445,81.83378667,Common Rose Swallowtail,Pachliopta aristolochiae,1,inat,Andhra Pradesh
nagarani,17.00316112,81.833755,Common Rose Swallowtail,Pachliopta aristolochiae,1,inat,Andhra Pradesh
bhumika2,18.14389746,82.92423036,Common Baron,Euthalia aconthea,1,inat,Andhra Pradesh
kattalakshmiinduja,16.47253168,81.84402265,Blue Mormon Swallowtail,Papilio polymnestor,1,inat,Andhra Pradesh
rajabandi,16.66264831,80.70068997,Common Leopard,Phalanta phalantha,1,inat,Andhra Pradesh
rajabandi,16.66264831,80.70068997,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
rajabandi,16.66264831,80.70068997,Psyche,Leptosia nina,1,inat,Andhra Pradesh
rajabandi,16.66264831,80.70068997,Common Grass Yellow,Eurema hecabe,1,inat,Andhra Pradesh
rajabandi,16.66264831,80.70068997,Plain Tiger Butterfly,Danaus chrysippus,1,inat,Andhra Pradesh
rajabandi,16.66264831,80.70068997,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
rajabandi,16.66264831,80.70068997,Indian Skipper,Spialia galba,1,inat,Andhra Pradesh
rajabandi,16.66264831,80.70068997,Bushbrowns,Mycalesis,1,inat,Andhra Pradesh
rajabandi,16.66264831,80.70068997,Tiny Grass Blue,Zizula hylax,1,inat,Andhra Pradesh
rajabandi,16.66264831,80.70068997,Bushbrowns,Mycalesis,1,inat,Andhra Pradesh
rajabandi,16.66264831,80.70068997,Monkey Puzzle,Rathinda amor,1,inat,Andhra Pradesh
rajabandi,16.66264831,80.70068997,Lime Swallowtail,Papilio demoleus,1,inat,Andhra Pradesh
rajabandi,16.66264831,80.70068997,Mottled Emigrant,Catopsilia pyranthe,1,inat,Andhra Pradesh
rajabandi,16.66264831,80.70068997,Zebra Blue,Leptotes plinius,1,inat,Andhra Pradesh
rajabandi,16.66264831,80.70068997,Indian Sunbeam,Curetis thetis,1,inat,Andhra Pradesh
rajabandi,16.66264831,80.70068997,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
